面积,价格,格局,楼层,朝向,装修,年建,板楼塔楼,所在区域,电梯有无,房屋年限,交易权限,房型
80.3平米,750万,3室1厅,中楼层/共20层,南 西 北,平层/简装,1990年建,塔楼,海淀  公主坟 三至四环,有,满五年,央产房,3室1厅1厨1卫
73.1平米,490万,3室1厅,底层/共6层,南 北,平层/精装,1998年建,板楼,丰台  马家堡 三至四环 近4号线大兴线角门西站,无,满五年,商品房,3室1厅1厨1卫
89.35平米,391万,3室1厅,低楼层/共24层,南 北,平层/精装,2013年建,板楼,门头沟  门头沟其它 六环外,有,满五年,商品房,3室1厅1厨1卫
68.56平米,475万,3室1厅,中楼层/共6层,南 北,平层/精装,1988年建,板楼,朝阳  双井 二至三环 近7号线广渠门外站,无,满五年,商品房,3室1厅1厨1卫
99.09平米,570万,3室1厅,高楼层/共13层,南 北,复式/精装,1999年建,板塔结合,海淀  清河 五至六环 近8号线永泰庄站,有,满两年,商品房,3室1厅1厨2卫
53.76平米,310万,2室1厅,低楼层/共6层,南,平层/其他,1990年建,板楼,朝阳  四惠 四至五环 近6号线十里堡站,无,满两年,已购公房,2室1厅1厨1卫
50.46平米,390万,2室1厅,顶层/共5层,南 北,平层/简装,1976年建,板楼,东城  天坛 二环内,无,满五年,已购公房,2室1厅1厨1卫
80.23平米,507万,2室1厅,中楼层/共24层,东,平层/精装,2004年建,塔楼,丰台  马家堡 三至四环 近4号线大兴线角门西站,有,满五年,一类经济适用房,2室1厅1厨1卫
88.86平米,430万,3室1厅,中楼层/共21层,西 南 北,平层/精装,2012年建,板塔结合,朝阳  东坝 五至六环,有,满五年,限价商品房,3室1厅1厨1卫
96.12平米,405万,3室1厅,中楼层/共7层,南 北,平层/精装,1997年建,板楼,通州  梨园 五至六环 近八通线梨园站,无,满两年,商品房,3室1厅1厨1卫
120.7平米,548万,2室1厅,中楼层/共6层,北 南,平层/精装,2005年建,板楼,朝阳  垡头  近7号线垡头站,无,满两年,商品房,2室1厅1厨2卫
77.43平米,339万,3室1厅,中楼层/共18层,东 西,平层/简装,2010年建,板楼,昌平  沙河 五至六环,有,满两年,商品房,3室1厅1厨1卫
131.81平米,768万,3室1厅,高楼层/共17层,西北,平层/精装,2000年建,板塔结合,海淀  五棵松 四至五环 近1号线玉泉路站,有,满五年,商品房,3室1厅1厨2卫
61平米,180万,2室1厅,顶层/共6层,南,平层/简装,1980年建,板楼,门头沟  城子 六环外,无,满两年,商品房,2室1厅1厨1卫
61.2平米,358万,2室1厅,中楼层/共7层,东,平层/精装,1999年建,板楼,丰台  成寿寺 三至四环 近10号线成寿寺站,无,满两年,商品房,2室1厅1厨1卫
82.31平米,420万,2室1厅,低楼层/共14层,东 西,平层/精装,2007年建,板塔结合,丰台  看丹桥 三至四环 近9号线丰台南路站,有,满五年,二类经济适用房,2室1厅1厨1卫
88.78平米,405万,3室1厅,中楼层/共10层,南 北,平层/简装,2010年建,板楼,通州  北关 五至六环 近6号线物资学院路站,有,满五年,定向安置房,3室1厅1厨1卫
73.63平米,305万,2室1厅,中楼层/共7层,南 北,平层/精装,1997年建,板楼,大兴  枣园 五至六环 近4号线大兴线枣园站,无,满五年,已购公房,2室1厅1厨1卫
81.63平米,649万,2室1厅,低楼层/共16层,西北,平层/精装,1997年建,塔楼,朝阳  安贞 三至四环 近5号线惠新西街南口站,有,满五年,商品房,2室1厅1厨1卫
138.08平米,498万,4室2厅,底层/共7层,东 南 北,平层/精装,2015年建,板楼,通州  通州其它 五至六环,有,满两年,商品房,4室2厅1厨2卫
159.8平米,566万,3室1厅,中楼层/共13层,南 北,平层/精装,2001年建,板楼,昌平  天通苑 五至六环 近5号线天通苑南站,有,满五年,一类经济适用房,3室1厅1厨2卫
79.71平米,368万,2室2厅,高楼层/共28层,南,平层/简装,2013年建,板塔结合,朝阳  东坝 五至六环,有,满五年,限价商品房,2室2厅1厨1卫
58.2平米,448万,2室1厅,底层/共6层,南 北,平层/简装,1993年建,板楼,海淀  五棵松 四至五环,无,满五年,央产房,2室1厅1厨1卫
86.99平米,365万,2室2厅,中楼层/共22层,南,平层/精装,2013年建,板楼,朝阳  垡头 四至五环 近7号线双合站,有,满五年,限价商品房,2室2厅1厨1卫
67.19平米,360万,2室1厅,低楼层/共6层,南 北,平层/简装,1995年建,板楼,丰台  刘家窑 三至四环 近5号线宋家庄站,无,满五年,已购公房,2室1厅1厨1卫
42.6平米,549万,1室1厅,中楼层/共6层,南,平层/简装,1985年建,板楼,西城  官园 二环内 近2号线西直门站,无,满五年,商品房,1室1厅1厨1卫
91.64平米,660万,2室2厅,中楼层/共19层,南 北,平层/精装,2007年建,板楼,海淀  清河 五至六环 近8号线西小口站,有,满五年,商品房,2室2厅1厨1卫
27.05平米,399万,1室1厅,中楼层/共10层,南,复式/精装,2005年建,塔楼,西城  广安门 二至三环 近7号线达官营站,有,满五年,商品房,1室1厅1厨1卫
89.12平米,345万,3室1厅,中楼层/共18层,南 北,平层/精装,2014年建,板楼,房山  长阳 五至六环,有,满两年,商品房,3室1厅1厨1卫
116.05平米,855万,2室1厅,中楼层/共18层,西南,平层/精装,2008年建,塔楼,朝阳  朝阳门外 二至三环 近6号线东大桥站,有,满两年,商品房,2室1厅1厨2卫
92.78平米,428万,3室1厅,中楼层/共6层,东 南 北,平层/精装,1996年建,板楼,昌平  回龙观 五至六环,无,满两年,商品房,3室1厅1厨1卫
59平米,460万,2室1厅,底层/共6层,南 北,平层/简装,1992年建,板楼,海淀  五棵松 四至五环,无,满五年,商品房,2室1厅1厨1卫
112.95平米,1050万,2室1厅,高楼层/共16层,南,平层/精装,2009年建,板楼,朝阳  大望路 三至四环,有,满五年,商品房,2室1厅1厨2卫
62.29平米,435万,2室1厅,低楼层/共22层,南 北,平层/简装,1998年建,塔楼,朝阳  国展 二至三环,有,满两年,已购公房,2室1厅1厨1卫
88.92平米,389万,3室1厅,中楼层/共20层,南 北,平层/精装,2012年建,板塔结合,房山  长阳 五至六环 近房山线长阳站,有,满五年,商品房,3室1厅1厨1卫
81.18平米,792万,2室1厅,高楼层/共26层,南,平层/精装,2004年建,塔楼,西城  广安门 二至三环 近7号线达官营站,有,满五年,二类经济适用房,2室1厅1厨1卫
49.67平米,265万,1室1厅,高楼层/共6层,东 西,平层/精装,1994年建,板楼,朝阳  石佛营 四至五环,无,满五年,商品房,1室1厅1厨1卫
88.3平米,336万,3室1厅,中楼层/共6层,南 北,平层/简装,1996年建,板楼,顺义  顺义城 六环外 近15号线顺义站,无,满五年,已购公房,3室1厅1厨1卫
114.33平米,497万,2室2厅,底层/共6层,南 西 北,平层/精装,2004年建,板楼,朝阳  东坝 五至六环,无,满五年,一类经济适用房,2室2厅1厨1卫
92.25平米,563万,2室1厅,中楼层/共21层,南,平层/简装,2005年建,塔楼,丰台  马家堡 三至四环 近4号线大兴线角门西站,有,满五年,商品房,2室1厅1厨1卫
97.84平米,360万,2室1厅,顶层/共5层,南 北,复式/精装,2003年建,板楼,通州  梨园 五至六环,无,满两年,商品房,2室1厅1厨1卫
55.6平米,335万,2室1厅,顶层/共6层,南 北,平层/精装,1987年建,板楼,朝阳  北工大 三至四环 近10号线劲松站,无,满五年,商品房,2室1厅1厨1卫
62.22平米,265万,2室1厅,中楼层/共6层,南 北,平层/简装,1994年建,板楼,大兴  枣园 五至六环 近4号线大兴线枣园站,无,满五年,商品房,2室1厅1厨1卫
63.56平米,418万,2室1厅,高楼层/共15层,东,平层/精装,1998年建,板塔结合,朝阳  CBD 三至四环,有,满五年,商品房,2室1厅1厨1卫
82.51平米,425万,2室1厅,中楼层/共27层,南,平层/精装,2008年建,板塔结合,朝阳  常营 五至六环 近6号线常营站,有,满五年,限价商品房,2室1厅1厨1卫
64.12平米,255万,2室1厅,高楼层/共6层,南 北,平层/简装,1992年建,板楼,昌平  东关 六环外,无,满五年,已购公房,2室1厅1厨1卫
100.16平米,530万,2室1厅,高楼层/共19层,南 北,平层/精装,2005年建,板楼,朝阳  管庄 五至六环 近八通线双桥站,有,满五年,商品房,2室1厅1厨1卫
91.22平米,636万,3室1厅,低楼层/共9层,南 北,平层/精装,2010年建,板楼,丰台  青塔 四至五环 近14号线西段郭庄子站,有,满五年,商品房,3室1厅1厨1卫
83.58平米,350万,3室1厅,中楼层/共6层,东 南 北,平层/精装,1997年建,板楼,大兴  西红门 四至五环,无,满五年,商品房,3室1厅1厨1卫
107.68平米,918万,2室2厅,低楼层/共14层,东 西,平层/精装,2003年建,板楼,海淀  四季青 三至四环,有,满两年,商品房,2室2厅1厨2卫
68.6平米,600万,3室1厅,低楼层/共16层,西北,平层/简装,1991年建,塔楼,海淀  皂君庙 二至三环,有,满五年,已购公房,3室1厅1厨1卫
132.89平米,800万,3室2厅,中楼层/共30层,西南 北,平层/精装,2002年建,塔楼,朝阳  四惠 四至五环,有,满五年,商品房,3室2厅1厨2卫
144平米,436万,3室2厅,高楼层/共14层,东 南 北,平层/精装,2010年建,板塔结合,房山  长阳 五至六环,有,满五年,商品房,3室2厅1厨2卫
34.53平米,440万,1室1厅,高楼层/共20层,西南,复式/精装,2004年建,塔楼,西城  广安门 二至三环 近7号线达官营站,有,满两年,商品房,1室1厅1厨1卫
58.3平米,389万,2室1厅,中楼层/共6层,南 北,平层/精装,1986年建,板楼,丰台  蒲黄榆 二至三环 近5号线蒲黄榆站,无,满五年,已购公房,2室1厅1厨1卫
66.04平米,428万,2室1厅,低楼层/共6层,南 北,平层/简装,1998年建,板楼,丰台  北大地 四至五环,无,满五年,已购公房,2室1厅1厨1卫
64.62平米,363万,2室1厅,高楼层/共6层,南 北,平层/精装,1994年建,板楼,朝阳  甘露园 四至五环,无,满两年,已购公房,2室1厅1厨1卫
91.09平米,970万,2室2厅,高楼层/共21层,南,平层/精装,2010年建,板塔结合,东城  陶然亭 二至三环,有,满五年,商品房,2室2厅1厨1卫
108.26平米,290万,2室1厅,顶层/共6层,南 北,平层/简装,2002年建,板楼,顺义  马坡 六环外,无,满五年,商品房,2室1厅1厨1卫
113.75平米,670万,2室2厅,中楼层/共29层,西,平层/精装,2002年建,塔楼,朝阳  望京 四至五环 近15号线望京站,有,满五年,商品房,2室2厅1厨1卫
107.47平米,625万,2室1厅,高楼层/共14层,南 北,平层/精装,2006年建,板楼,朝阳  北苑 五至六环 近5号线立水桥南站,有,满五年,商品房,2室1厅1厨2卫
76.98平米,728万,2室2厅,中楼层/共11层,南 北,精装,2009年建,板楼,朝阳  四惠 四至五环,有,满五年,商品房,2室2厅1厨2卫
87.04平米,267万,2室1厅,中楼层/共6层,南 北,平层/精装,2004年建,板楼,房山  良乡 五至六环 近房山线良乡大学城西站,无,满五年,商品房,2室1厅1厨1卫
85.72平米,260万,3室1厅,底层/共17层,南 北,平层/简装,2012年建,板塔结合,大兴  枣园 五至六环,暂无数据,满五年,限价商品房,3室1厅1厨1卫
64.89平米,470万,2室1厅,中楼层/共14层,南 北,平层/精装,1989年建,板塔结合,朝阳  和平里 二至三环 近13号线光熙门站,有,满两年,商品房,2室1厅1厨1卫
140.95平米,930万,3室2厅,低楼层/共18层,南 北,平层/精装,2012年建,板楼,朝阳  常营 五至六环,有,满两年,商品房,3室2厅1厨2卫
125.92平米,335万,3室2厅,低楼层/共6层,南 北,平层/简装,1996年建,板楼,昌平  北七家 五至六环,无,满五年,商品房,3室2厅1厨2卫
83.6平米,499万,3室1厅,中楼层/共16层,西南,平层/精装,2001年建,板楼,丰台  菜户营 二至三环,有,满五年,商品房,3室1厅1厨1卫
77.67平米,280万,2室1厅,高楼层/共10层,南 西 北,复式/简装,2012年建,板楼,大兴  大兴其它 ,有,满五年,商品房,2室1厅1厨1卫
106.4平米,998万,2室2厅,中楼层/共15层,东 北,平层/精装,2009年建,塔楼,东城  朝阳门内 二环内,有,满五年,商品房,2室2厅1厨2卫
91.16平米,499万,3室1厅,底层/共28层,南 北,平层/精装,2016年建,板楼,大兴  大兴其它 五至六环,有,满两年,商品房,3室1厅1厨1卫
84.5平米,1220万,3室1厅,高楼层/共16层,东南,平层/精装,1985年建,塔楼,西城  金融街 二环内 近2号线长椿街站,有,满五年,已购公房,3室1厅1厨1卫
54.48平米,193万,2室1厅,顶层/共6层,南,平层/简装,1987年建,板楼,大兴  枣园 五至六环 近新机场线大兴新城站,无,满五年,已购公房,2室1厅1厨1卫
95.38平米,528万,3室1厅,高楼层/共25层,南,平层/精装,2014年建,板楼,亦庄开发区  亦庄开发区其它 五至六环,有,满两年,商品房,3室1厅1厨1卫
61.22平米,578万,2室1厅,中楼层/共5层,南 北,平层/精装,1982年建,板楼,西城  天宁寺 二至三环,无,满五年,商品房,2室1厅1厨1卫
81.1平米,850万,3室1厅,中楼层/共16层,东南,平层/精装,1991年建,塔楼,海淀  牡丹园 三至四环 近10号线牡丹园站,有,满五年,商品房,3室1厅1厨1卫
101.91平米,488万,2室1厅,中楼层/共8层,南 北,平层/简装,2009年建,板楼,大兴  黄村北 五至六环,有,满两年,商品房,2室1厅1厨2卫
137.11平米,666万,3室1厅,顶层/共11层,南 北,平层/简装,2004年建,板楼,亦庄开发区  亦庄 五至六环,有,满五年,商品房,3室1厅1厨2卫
160.74平米,590万,3室1厅,中楼层/共13层,南 北,平层/精装,2001年建,板楼,昌平  天通苑 五至六环 近5号线天通苑南站,有,满五年,商品房,3室1厅1厨2卫
83.22平米,675万,3室1厅,高楼层/共18层,东南,平层/精装,1995年建,塔楼,朝阳  健翔桥 三至四环 近8号线奥体中心站,有,满五年,商品房,3室1厅1厨1卫
88.59平米,298万,2室1厅,中楼层/共15层,南 北,平层/精装,2013年建,板楼,房山  良乡 五至六环,有,满五年,商品房,2室1厅1厨2卫
60.3平米,305万,2室1厅,中楼层/共16层,南,平层/简装,1987年建,塔楼,石景山  老山 四至五环 近1号线八角游乐园站,有,满五年,已购公房,2室1厅1厨1卫
70.58平米,450万,2室1厅,中楼层/共14层,东 西,平层/简装,1996年建,板塔结合,朝阳  甜水园 三至四环 近14号线东段朝阳公园站,有,满五年,央产房,2室1厅1厨1卫
105.31平米,425万,2室1厅,顶层/共11层,南,平层/精装,2006年建,板楼,丰台  花乡 四至五环,有,满五年,商品房,2室1厅1厨1卫
41.7平米,458万,1室1厅,中楼层/共5层,西,平层/精装,1999年建,板楼,海淀  公主坟 三至四环,无,满五年,商品房,1室1厅1厨1卫
61.43平米,248万,1室1厅,中楼层/共21层,南,平层/简装,2013年建,板楼,亦庄开发区  亦庄开发区其它 五至六环,有,满五年,商品房,1室1厅1厨1卫
69.24平米,270万,2室0厅,高楼层/共16层,南,平层/简装,1997年建,塔楼,石景山  苹果园 五至六环 近6号线金安桥站,有,满两年,已购公房,2室0厅1厨1卫
84.21平米,399万,1室1厅,低楼层/共22层,东,平层/精装,2003年建,塔楼,朝阳  亚运村小营 四至五环 近5号线大屯路东站,有,满五年,商品房,1室1厅1厨1卫
73.31平米,252万,2室1厅,低楼层/共6层,南 北,平层/简装,1997年建,板楼,顺义  顺义城 六环外,无,满五年,商品房,2室1厅1厨1卫
64.9平米,639万,2室1厅,中楼层/共6层,南 北,平层/精装,1988年建,板楼,海淀  牡丹园 三至四环 近10号线西土城站,无,满五年,已购公房,2室1厅1厨1卫
64.18平米,615万,2室1厅,中楼层/共9层,南 北,平层/简装,1999年建,板楼,西城  牛街 二环内 近4号线大兴线陶然亭站,有,满五年,已购公房,2室1厅1厨1卫
92.66平米,590万,2室1厅,中楼层/共17层,北,平层/简装,2000年建,板塔结合,海淀  五棵松 四至五环 近1号线玉泉路站,有,满五年,商品房,2室1厅1厨1卫
52.96平米,395万,1室1厅,高楼层/共18层,东 北,平层/精装,2004年建,板塔结合,朝阳  大望路 ,有,满两年,商品房,1室1厅1厨1卫
40.39平米,415万,1室1厅,底层/共6层,东,平层/精装,1994年建,板楼,西城  广安门 二至三环,无,满两年,商品房,1室1厅1厨1卫
59.57平米,570万,2室1厅,底层/共6层,南 北,平层/精装,1994年建,板楼,海淀  二里庄 四至五环,无,满五年,已购公房,2室1厅1厨1卫
64.29平米,190万,2室1厅,高楼层/共6层,南 北,平层/精装,未知年建,板楼,门头沟  城子 六环外,暂无数据,满五年,已购公房,2室1厅1厨1卫
48.3平米,409.9万,1室1厅,中楼层/共7层,西,平层/精装,2002年建,板塔结合,东城  天坛 二环内,无,满五年,私产,1室1厅1厨1卫
51.89平米,158万,1室1厅,中楼层/共25层,东 南,平层/简装,未知年建,塔楼,大兴  西红门 六环外,有,满五年,一类经济适用房,1室1厅1厨1卫
140.34平米,700万,3室1厅,高楼层/共28层,东南 西北,平层/简装,2001年建,塔楼,朝阳  望京 四至五环 近15号线望京站,有,满五年,商品房,3室1厅1厨2卫
106.7平米,520万,2室1厅,中楼层/共6层,南 北,平层/简装,2002年建,板楼,朝阳  定福庄 五至六环 近6号线褡裢坡站,无,满五年,商品房,2室1厅1厨1卫
58.06平米,267万,2室1厅,顶层/共6层,东 西,平层/简装,1992年建,板楼,石景山  苹果园 五至六环 近6号线西黄村站,无,满五年,已购公房,2室1厅1厨1卫
65.59平米,439万,1室0厅,中楼层/共22层,西南,平层/精装,2009年建,板塔结合,海淀  清河 五至六环,有,满五年,商品房,1室0厅1厨1卫
46.51平米,270万,1室0厅,高楼层/共23层,北,平层/简装,2003年建,塔楼,朝阳  劲松 三至四环 近10号线劲松站,有,满两年,商品房,1室0厅1厨1卫
63.01平米,463万,1室0厅,中楼层/共23层,西,平层/精装,2009年建,塔楼,东城  广渠门 二至三环 近7号线广渠门外站,有,满五年,商品房,1室0厅1厨1卫
71.24平米,290万,2室1厅,低楼层/共6层,南 北,平层/简装,2003年建,板楼,顺义  顺义城 六环外,无,满两年,商品房,2室1厅1厨1卫
50.77平米,240万,2室1厅,顶层/共6层,南 北,平层/简装,1984年建,板楼,石景山  古城 五至六环 近1号线古城站,无,满五年,已购公房,2室1厅1厨1卫
72.2平米,430万,1室1厅,中楼层/共27层,西南,平层/简装,1997年建,塔楼,朝阳  望京 四至五环,有,满五年,商品房,1室1厅1厨1卫
50.41平米,325万,1室1厅,低楼层/共18层,南,平层/简装,1994年建,塔楼,朝阳  劲松 三至四环,有,满五年,已购公房,1室1厅1厨1卫
59.2平米,239万,2室1厅,顶层/共5层,南,平层/简装,未知年建,板楼,丰台  和义 四至五环 近8号线南段东高地站,暂无数据,满五年,央产房,2室1厅1厨1卫
86.08平米,195万,2室1厅,低楼层/共6层,南 北,平层/简装,2001年建,板楼,大兴  天宫院南 六环外,无,满五年,商品房,2室1厅1厨1卫
92.99平米,375万,2室1厅,高楼层/共33层,东南,平层/简装,2002年建,塔楼,昌平  天通苑 五至六环,有,满两年,商品房,2室1厅1厨1卫
101.2平米,570万,2室0厅,高楼层/共15层,东,平层/简装,1998年建,板塔结合,东城  朝阳门外 二至三环 近2号线东四十条站,有,满两年,商品房,2室0厅0厨1卫
70.3平米,333万,2室1厅,高楼层/共6层,南 北,平层/简装,1995年建,板楼,昌平  立水桥 五至六环,无,满两年,已购公房,2室1厅1厨1卫
77.22平米,288万,2室1厅,高楼层/共6层,南 北,平层/简装,2000年建,板楼,石景山  石景山其它 五至六环,无,满五年,已购公房,2室1厅1厨1卫
56.85平米,269万,2室1厅,中楼层/共6层,南 北,平层/简装,1986年建,板楼,朝阳  东坝 五至六环,无,满五年,央产房,2室1厅1厨1卫
58.66平米,309万,2室1厅,底层/共6层,东 西,平层/简装,1994年建,板楼,朝阳  华威桥 三至四环 近14号线东段北工大西门站,无,满两年,已购公房,2室1厅1厨1卫
52.16平米,225万,2室1厅,高楼层/共18层,南 北,平层/简装,2014年建,板塔结合,昌平  昌平其它 五至六环,暂无数据,满五年,一类经济适用房,2室1厅1厨1卫
100.78平米,730万,2室1厅,中楼层/共22层,西南,平层/精装,2006年建,塔楼,朝阳  大望路 三至四环 近7号线九龙山站,有,满五年,商品房,2室1厅1厨1卫
62.78平米,530万,1室1厅,中楼层/共21层,南,平层/精装,2004年建,塔楼,东城  广渠门 二环内 近7号线广渠门内站,有,满五年,私产,1室1厅1厨1卫
46.2平米,556万,1室1厅,高楼层/共6层,北,平层/简装,1993年建,板楼,西城  阜成门 二至三环 近6号线车公庄西站,无,满五年,商品房,1室1厅1厨1卫
48.72平米,428万,1室1厅,顶层/共6层,西,平层/精装,1994年建,塔楼,东城  东花市 二环内 近7号线广渠门内站,无,满五年,商品房,1室1厅1厨1卫
58.85平米,358万,1室1厅,高楼层/共28层,南,平层/简装,2009年建,塔楼,朝阳  潘家园 二至三环 近10号线十里河站,有,满两年,商品房,1室1厅1厨1卫
50.23平米,318万,1室1厅,高楼层/共25层,西,平层/简装,2004年建,塔楼,朝阳  酒仙桥 四至五环 近14号线东段将台站,有,满五年,商品房,1室1厅1厨1卫
82.83平米,490万,1室1厅,低楼层/共28层,东南,平层/简装,2000年建,塔楼,朝阳  望京 四至五环 近15号线望京站,有,满五年,一类经济适用房,1室1厅1厨1卫
57.75平米,206万,2室1厅,低楼层/共6层,南 北,平层/简装,1994年建,板楼,门头沟  滨河西区 六环外,无,满五年,已购公房,2室1厅1厨1卫
48.34平米,219万,2室1厅,中楼层/共6层,南,平层/毛坯,1974年建,板楼,石景山  鲁谷 四至五环,无,满五年,已购公房,2室1厅1厨1卫
45.6平米,389万,1室1厅,高楼层/共18层,南,平层/简装,1990年建,塔楼,海淀  牡丹园 三至四环 近10号线健德门站,有,满五年,已购公房,1室1厅1厨1卫
50.66平米,535万,2室1厅,中楼层/共6层,西南,平层/简装,1983年建,板楼,西城  白纸坊 二环内 近4号线大兴线陶然亭站,无,满两年,央产房,2室1厅1厨1卫
98.47平米,450万,3室1厅,低楼层/共24层,东北,平层/精装,2000年建,塔楼,朝阳  高碑店 四至五环 近6号线青年路站,有,满五年,一类经济适用房,3室1厅1厨1卫
88.92平米,503万,3室2厅,中楼层/共9层,南 北,平层/精装,2008年建,板塔结合,朝阳  双桥 五至六环,有,满两年,商品房,3室2厅1厨2卫
